mean_rew,mean_val
0.0018948218785226345,0.1057194173336029
0.0008932059281505644,0.4614727199077606
0.0005340559873729944,0.5478339195251465
0.000492798921186477,0.6089245080947876
0.0001697595726000145,0.42294546961784363
0.0006410042988136411,0.623245894908905
0.0004981863894499838,0.4299159646034241
0.000501775648444891,0.5268100500106812
0.0005823828396387398,0.47090888023376465
0.0007658845861442387,0.44539716839790344
0.0008118679979816079,0.5038217306137085
0.000889533490408212,0.48656147718429565
0.0012303777039051056,0.4881649613380432
0.0011953006032854319,0.4548030197620392
0.0014506306033581495,0.4987053871154785
0.0008805929101072252,0.42572838068008423
0.0016450828406959772,0.5559654235839844
0.0017314190044999123,0.46596264839172363
0.0012588899116963148,0.524865448474884
0.0017520803958177567,0.5782181620597839
0.0017389791319146752,0.4817737638950348
0.0030641539487987757,0.5135289430618286
0.0030510667711496353,0.5523040294647217
0.002859717234969139,0.6198098063468933
0.0031318545807152987,0.4490755498409271
0.002919046673923731,0.6038792729377747
0.0037814383395016193,0.6093798279762268
0.004107988439500332,0.5465355515480042
0.003971342463046312,0.5557207465171814
0.004219088703393936,0.5253124833106995
0.00426572747528553,0.6216369867324829
0.004555719438940287,0.5962207913398743
0.005121622234582901,0.572679340839386
0.0064661744982004166,0.6585633754730225
0.004901851061731577,0.49612459540367126
0.006195609457790852,0.5951159596443176
0.007224883418530226,0.5579752326011658
0.008726327680051327,0.5892077684402466
0.010451206937432289,0.6584880352020264
0.011541750282049179,0.5423240661621094
0.014388605952262878,0.6874914765357971
0.015487045049667358,0.6458265781402588
0.016259724274277687,0.593984842300415
0.017710592597723007,0.6105090975761414
0.017974350601434708,0.5850554704666138
0.020522944629192352,0.6482455730438232
0.021889755502343178,0.6748721599578857
0.023851091042160988,0.5321891903877258
0.026368597522377968,0.6411188840866089
